THRESHOLD_GEO,THRESHOLD_PNP,BACKBONE,GEO_HEAD,PNP_HEAD
0,8,0.01010306231582012,0.0015183066029865772,0.018503652025276842
0,8,0.010106617795566144,0.001524415901169563,0.018491591762106577
0,8,0.010646917041725455,0.0016273517824279575,0.0180347878832179
0,8,0.025675330922389644,0.003750601698620579,0.0013725182787777904
0,9,0.02563728731519614,0.0037373537072338736,0.0013179688183113168
0,9,0.0256376592699104,0.0036762141921103763,0.0013005671258538196
0,9,0.025651385358725794,0.003708391785263442,0.0013305286447016092
0,0,0.02560953267921622,0.0037741045945156844,0.0014327644298856076
0,9,0.02566138030185054,0.0036855504036140746,0.0012949882331901254
0,0,0.025574353638773736,0.003663631169220958,0.0012772689376456233
0,10,0.025624529189931657,0.003680799266275687,0.0012958446129535635
0,0,0.025607481700344346,0.003723908823508865,0.0013406573991792707
0,10,0.02562855602337573,0.003676558969518504,0.0012829713803978685
0,0,0.025601300299884035,0.003734261690018078,0.0013299975490484101
0,10,0.025661715801256018,0.0037013038145139432,0.001352777865786965
0,1,0.025596162947252966,0.0036735153476444957,0.0012915441282809928
0,10,0.025637953360087406,0.0036870434265344953,0.001342273912488077
0,1,0.025619270028068852,0.0037403051311580035,0.0013272989529352157
0,11,0.025654095660250346,0.0036957794901891013,0.001337349125279639
0,1,0.025609373305446635,0.0036775370916494955,0.0012455461797519372
0,11,0.025642913459346463,0.0036833211206472836,0.001308482328358178
0,1,0.025634686631532625,0.0036929086292496857,0.0012584814151080372
0,11,0.02565290127068949,0.003697534400420502,0.0013488046377180861
0,2,0.025644898019396723,0.003726968094587135,0.0013162879589706277
0,11,0.02565647593448655,0.003724581556012615,0.0013577050117489237
0,2,0.02565486236141087,0.003728626075630578,0.0013022001593922957
0,12,0.025644660000808728,0.003682445206392843,0.0013126865160675385
0,2,0.02564035483564322,0.0037364345205088073,0.0013178418981484496
0,12,0.025665131038747346,0.003709589455348368,0.001338792687210326
0,2,0.025615383421954435,0.003775757111203021,0.0014277342706918716
0,12,0.025653160323436636,0.0037151676698181876,0.0013616666890298708
0,3,0.025605817219743934,0.0036667166761337566,0.0012429134806809135
