THRESHOLD_GEO,THRESHOLD_PNP,BACKBONE,GEO_HEAD,PNP_HEAD
0,0,0.025595438263665598,0.00368918000947302,0.0009072084200735657
0,0,0.025647726073526802,0.0037021254123642275,0.0009034480947332505
0,0,0.02561253737180661,0.003729489683292997,0.0009157145574975472
0,0,0.0255976712408786,0.003636605668072708,0.0008735748527284998
0,1,0.025597638635633465,0.0037257754954342277,0.0008963386331183406
0,1,0.02561216050436577,0.003756737544272955,0.000949991194722362
0,1,0.02558452772657172,0.003664633404248609,0.0008743910178637658
0,1,0.025596905526561804,0.0036494949366897345,0.0008665587639627167
0,2,0.025602798865367777,0.00372512081446938,0.0009378566830538404
0,2,0.025627390079152507,0.0036763060617093475,0.0008850720472251758
0,2,0.02561829015075301,0.003766654144662122,0.0009379717754200101
0,2,0.025628044886681706,0.0036799474589478895,0.0008787237680875338
0,3,0.02560851739253849,0.0037337613859190007,0.0009175378142688901
0,3,0.02558234548733498,0.0036551368846677434,0.0008643622366854778
0,3,0.0256183112738654,0.0036497910184642443,0.0008699925323852744
0,3,0.025604373715125407,0.003720725146241677,0.000923908473804402
0,4,0.025611179804978654,0.003676765973870762,0.0008739531464062822
0,4,0.02565223062948252,0.0037117210819791907,0.0009018048620185791
0,4,0.025618875559825355,0.00371443582042001,0.0008930142855462737
0,4,0.025591392452733067,0.003677105407517117,0.0008793687949386927
0,5,0.025614542186928865,0.003729292693046423,0.0009450114827650862
0,5,0.02560775727391816,0.00369050971005494,0.0008764013301772185
0,5,0.025610183366837028,0.0036887661291238587,0.0008877603605819437
0,5,0.025610200202283568,0.0037237362494357885,0.000897347602324608
0,6,0.025587386639120104,0.0036513289472518058,0.0008604319593033347
0,6,0.025600427375413858,0.0036536349950788112,0.0008500213304964395
0,6,0.02558079677908562,0.0036552977825825414,0.0008553567784241377
0,6,0.025595164914519932,0.0037103578179644853,0.0008546197619766761
0,7,0.025616252975753293,0.0036972636870371226,0.0008939379515747229
0,7,0.025602102655177122,0.0036910525373875713,0.0008791156632539171
0,7,0.025581163562571584,0.003634236469411124,0.0008426893621874161
0,7,0.0255882022000897,0.0036758716612194592,0.0008654376426234078
0,8,0.02561936625936188,0.003728702887056921,0.000916060688905418
0,8,0.025597324350681634,0.0036641512191496217,0.0008624186118443807
0,8,0.025613109873106273,0.0036960649298121914,0.0008965587076277305
0,8,0.025616519594302355,0.0037167925471201157,0.0009119179643069705
0,9,0.025601331633515655,0.0037061071775567073,0.0008911086879193019
0,9,0.025591516903100107,0.003673680141592064,0.000876613471728678
0,9,0.02560314383202543,0.003677925992852602,0.0008773771508668478
0,9,0.025639615388205035,0.003713852085937292,0.0009195648945676975
0,10,0.02559551644938974,0.0036596384950173208,0.0008519797753065061
0,10,0.025610623077656595,0.003640434542933527,0.0008374446817936424
0,10,0.02558733171855028,0.0036772928988704316,0.0008749157524643801
0,10,0.025624728532364735,0.0037849777778132987,0.0009731783370415752
0,11,0.025619812445261347,0.003642957982941507,0.0008459007904793208
0,11,0.025609373453503045,0.0036970803824563823,0.000945770433650185
0,11,0.025617505058956644,0.003670867259064928,0.0008675875416837442
0,11,0.025585299532096355,0.003637132253378439,0.0008508008498793994
0,12,0.025615333866638442,0.003707325911053862,0.0008914081135000556
0,12,0.02560968158933788,0.003729933202983095,0.0008998749425443701
0,12,0.02562861865422187,0.0037070020531805663,0.0009010637507367975
0,12,0.025615233012761633,0.0036751700583128977,0.0008705540667646207
0,13,0.025610739586707683,0.0037338096481294206,0.0009219853135828788
0,13,0.025570520046405875,0.0036399265822882835,0.000833196299843108
