THRESHOLD_GEO,THRESHOLD_PNP,BACKBONE,GEO_HEAD,PNP_HEAD
0,0,0.012693649058779463,0.001853785953985957,0.016244496112593855
0,0,0.010959549577763447,0.0016379724292514416,0.01768887032014437
0,0,0.010857129781148755,0.0016131331666539876,0.017832142727162974
0,0,0.010929705163774391,0.001636744948486105,0.01773658701612686
0,0,0.010264021248962635,0.0015407309425660434,0.018376229339255354
0,0,0.010671007943650087,0.0015953167675970457,0.017945012970206637
0,0,0.012977578086055578,0.001993909059509806,0.1625508365981717
0,0,0.010507418897647697,0.0015838024779581106,0.018124386422240582
0,1,0.010173588885495868,0.0015319710442175468,0.01843538886318222
0,1,0.010731203062459827,0.0016275937537638804,0.017894681278043067
0,1,0.011135176901156322,0.001645441543764602,0.017515255473792936
0,1,0.010715032029801454,0.001597908483698773,0.017847879350973435
0,2,0.010281703622343066,0.0015354048914443224,0.018249289559510846
0,2,0.010653842456686572,0.0015908859992543093,0.017936163251765835
0,2,0.010712023722963074,0.0015930294423387983,0.01788564963469234
0,2,0.010628127757435999,0.0015935847159618368,0.01799466406317571
0,3,0.01025884562673477,0.0015391790928939977,0.018267816779776836
0,3,0.010570747977218185,0.0015826415700408128,0.018043254469879543
0,3,0.010608555804579877,0.0015765068700346046,0.017956020237089924
0,3,0.0107764758515912,0.0015908296948346572,0.017778662838734305
0,4,0.010268834489397704,0.0015318104310725362,0.01833333405188452
0,4,0.01059289173139498,0.0016080321511253715,0.018073333928194376
0,4,0.010558390314690769,0.0015550268551286978,0.017988983051588713
0,4,0.010767733704489775,0.0016748146428607214,0.017841422765587384
0,5,0.01077893204951229,0.0016066551721917513,0.01789921429247046
0,5,0.010678260100599473,0.001597780962355244,0.017988332042781014
0,5,0.01054832386629035,0.00157207309638556,0.018086889567665566
0,5,0.010300912221487707,0.0015418621048761101,0.018370882353673762
0,6,0.010148032312878431,0.0015190556311072446,0.018458381889817806
0,6,0.01015701642833077,0.00155803468854477,0.018422685232228384
0,6,0.010211925173942477,0.0015145273467239279,0.018419155169827624
0,6,0.01082491784547575,0.0015960883946181871,0.017792199895335124
0,7,0.010571382681910808,0.0015727437429655438,0.01805406446950749
0,7,0.010456539461842905,0.0015562843370179717,0.018184917122245025
0,7,0.01097438339717113,0.0016350820947151918,0.017643329356080636
0,7,0.010485649957823065,0.0015657939882471393,0.018188623741913875
